Ano;Esforço PF
2011;4,00
2011;88,00
2011;321,23
2011;15,00
2011;29,70
2011;265,00
2011;25,00
2011;4,50
2011;24,00
2011;0,60
2011;1,20
2011;11,90
2011;7,00
2011;7,00
2011;22,70
2011;6,00
2011;5,00
2011;52,00
2011;23,00
2011;331,80
2011;1.796,77
2011;278,40
2011;204,00
2011;7,00
2011;240,00
2017;76,65
2011;144,00
2011;18,00
2011;5,00
2011;20,00
2011;692,00
2011;30,00
2011;6,00
2011;51,30
2011;6,80
2011;31,00
2011;6,00
2011;15,00
2011;305,00
2011;12,00
2011;4,50
2011;23,00
2011;62,00
2011;96,00
2011;75,00
2011;13,00
2011;4,00
2011;6,00
2011;1,00
2011;3,00
2011;80,00
2011;274,00
2011;37,00
2011;1,20
2011;20,30
2011;15,00
2011;48,80
2011;388,00
2011;20,00
2011;144,00
2011;17,00
2011;3,00
2011;4,50
2011;16,00
2011;130,00
2011;15,25
2011;16,00
2011;17,00
2011;280,00
2011;5,00
2011;48,00
2011;878,00
2011;4,80
2011;124,00
2011;10,00
2011;38,00
2011;21,68
2011;6,00
2011;60,00
2012;132,00
2011;29,00
2011;61,00
2011;12,00
2011;20,00
2011;1,00
2011;25,00
2011;98,73
2011;26,00
2011;26,00
2011;4,00
2011;9,00
2011;4,50
2011;67,00
2011;19,60
2011;0,30
2011;36,00
2011;1,60
2011;33,00
2011;11,90
2011;35,75
2011;14,00
2011;42,60
2011;115,00
2011;668,38
2011;16,00
2011;15,00
2011;207,34
2011;52,00
2011;24,00
2017;25,35
2012;3,00
2011;5,00
2011;8,00
2011;3,00
2012;9,00
2011;8,00
2011;1,00
2011;4,00
2011;6,00
2011;48,00
2011;8,00
2011;25,00
2011;26,40
2011;59,00
2011;44,00
2011;141,00
2011;1,10
2011;19,00
2011;1,00
2011;14,00
2012;131,00
2011;8,20
2012;8,00
2011;33,00
2011;10,00
2011;6,00
2011;10,00
2011;73,00
2012;2,00
2012;18,00
2011;24,60
2011;317,00
2012;176,25
2011;12,00
2011;149,00
2011;1,00
2011;21,00
2011;8,00
2012;4,00
2011;1,00
2011;20,00
2011;25,00
2012;23,00
2011;49,00
2012;108,00
2012;8,00
2011;19,20
2011;55,00
2011;20,00
2011;5,00
2011;118,00
2011;56,92
2011;260,00
2011;4,00
2011;50,70
2011;228,00
2011;10,00
2011;103,00
2011;25,00
2012;54,00
2012;12,00
2011;23,00
2011;6,00
2011;50,00
2017;363,19
2011;102,00
2011;50,00
2011;1.374,94
2013;192,00
2011;66,00
2012;2,00
2012;3,00
2012;7,00
2011;1,00
2012;48,00
2012;38,00
2014;54,00
2011;60,00
2011;10,00
2011;3,00
2011;14,00
2011;48,00
2011;185,95
2012;8,00
2011;18,00
2011;46,20
2012;114,65
2011;14,00
2011;48,00
2011;18,00
2012;3,00
2011;57,00
2012;82,50
2017;29,36
2011;36,00
2011;65,00
2011;826,59
2011;12,00
2011;1,00
2011;16,00
2011;6,00
2011;21,00
2011;59,25
2011;7,20
2011;4,00
2011;19,00
2011;3,00
2011;23,00
2011;139,20
2015;83,96
2012;11,00
2012;6,00
2012;64,00
2012;5,00
2012;55,00
2012;29,00
2012;1,10
2014;156,50
2012;3,00
2012;13,00
2012;18,00
2012;82,00
2012;67,00
2012;6,00
2012;14,00
2012;4,50
2012;8,00
2012;8,00
2012;3,00
2012;3,00
2012;5,40
2012;122,00
2012;3,00
2012;5,00
2012;112,00
2012;10,00
2012;3,00
2012;8,00
2012;158,45
2012;27,90
2012;1,20
2012;21,20
2012;3,00
2012;21,00
2013;6,00
2012;12,00
2012;6,00
2012;8,00
2012;67,00
2012;64,00
2012;13,00
2012;11,00
2012;40,00
2012;29,00
2012;32,00
2012;8,20
2012;64,00
2012;6,00
2012;4,50
2012;16,00
2012;1,00
2012;12,00
2012;7,00
2012;1,00
2012;10,00
2012;1.027,95
2012;69,00
2012;19,00
2012;35,00
2012;11,00
2012;12,00
2012;0,60
2012;1.500,00
2012;9,00
2012;7,00
2012;4,00
2012;14,00
2012;0,60
2012;148,50
2012;6,00
2012;6,12
2012;5,00
2012;50,00
2012;6,00
2012;7,00
2012;26,00
2012;5,00
2012;3,00
2012;24,00
2012;57,00
2012;7,34
2012;3,00
2012;4,00
2012;6,00
2012;4,00
2012;69,00
2012;6,00
2012;143,00
2013;60,30
2012;177,00
2012;148,50
2012;14,00
2012;127,00
2012;1,80
2012;4,50
2012;4,00
2012;38,00
2012;64,00
2012;6,00
2012;4,20
2012;26,00
2012;16,00
2012;6,00
2012;4,50
2012;3,00
2012;14,00
2012;4,00
2012;38,00
2012;15,00
2015;69,86
2012;36,00
2012;6,00
2012;4,00
2012;11,00
2012;11,00
2012;6,00
2012;3,00
2012;6,00
2012;6,00
2012;12,00
2012;1,00
2012;14,00
2012;15,00
2012;62,34
2012;286,00
2012;8,00
2012;41,00
2012;12,00
2012;5,00
2012;18,00
2012;29,00
2012;103,95
2012;15,00
2012;14,00
2012;15,00
2012;7,00
2012;6,50
2012;2,00
2012;11,00
2012;1,00
2012;3,00
2012;110,00
2012;60,00
2012;30,00
2012;26,00
2012;12,00
2012;7,00
2012;4,50
2012;101,00
2012;16,00
2012;11,00
2012;8,40
2012;7,00
2012;144,00
2012;16,47
2012;153,25
2012;500,22
2012;88,00
2012;12,00
2012;21,00
2012;35,00
2012;69,61
2012;81,00
2012;122,00
2012;75,19
2012;6,00
2012;54,00
2012;120,00
2012;40,00
2012;32,00
2012;269,10
2012;11,00
2012;3,00
2012;6,50
2012;443,70
2012;14,00
2012;84,00
2012;84,00
2012;24,00
2012;3,00
2012;3,00
2012;23,20
2012;57,00
2012;1,00
2012;6,00
2012;4,50
2012;109,00
2012;3,00
2012;85,00
2012;60,00
2012;48,20
2012;325,00
2012;24,00
2012;8,00
2012;47,00
2012;563,69
2012;572,00
2012;21,00
2012;45,75
2012;64,00
2012;15,20
2012;6,25
2012;6,25
2012;5,25
2012;6,00
2012;323,60
2012;15,00
2012;33,00
2012;286,00
2014;3,45
2012;342,00
2012;12,00
2012;95,00
2013;185,75
2012;67,00
2012;43,90
2012;2,20
2012;3,50
2012;80,00
2012;30,00
2012;20,00
2012;24,00
2012;6,00
2012;30,00
2012;32,00
2012;50,00
2012;56,00
2012;56,00
2012;66,00
2012;34,00
2012;755,56
2015;72,21
2012;6,00
2012;12,60
2012;6,00
2012;5,00
2012;82,00
2012;26,10
2012;9,60
2012;4,50
2012;20,00
2012;7,00
2012;6,00
2012;235,00
2012;12,00
2012;827,40
2012;4,50
2012;70,00
2012;7,00
2012;95,00
2012;18,00
2012;40,00
2012;26,00
2012;13,00
2012;67,00
2012;6,00
2012;4,00
2012;127,50
2015;21,00
2012;135,00
2012;307,00
2012;44,65
2012;6,00
2012;1.254,26
2012;209,00
2012;256,30
2012;23,40
2012;13,00
2017;11,55
2012;46,98
2012;88,60
2012;97,21
2012;39,00
2012;422,90
2012;7,00
2012;46,00
2012;16,00
2012;8,00
2012;16,00
2012;3,00
2012;61,56
2012;307,00
2012;2.857,00
2012;15,00
2012;7,00
2012;9,00
2012;54,00
2012;20,00
2012;58,00
2012;56,00
2012;90,00
2012;52,00
2012;503,80
2012;75,00
2012;158,60
2012;34,50
2012;42,55
2012;102,65
2012;42,55
2012;49,90
2012;52,33
2012;68,70
2012;87,35
2012;191,00
2012;477,40
2012;130,65
2012;67,00
2012;15,00
2012;560,00
2012;79,00
2012;55,80
2012;45,00
2012;4,00
2012;39,00
2012;3,00
2012;4,00
2012;21,00
2012;87,00
2012;4,00
2012;77,00
2012;83,00
2012;117,20
2012;571,48
2012;86,47
2012;6,00
2012;270,00
2012;4.026,60
2012;22,00
2012;109,00
2012;6,00
2012;89,00
2012;46,00
2012;1.259,00
2012;9,60
2012;5,00
2012;0,60
2012;40,00
2012;20,00
2012;68,75
2012;325,00
2012;429,60
2012;52,00
2012;105,00
2012;11,90
2012;17,25
2012;253,05
2012;13,00
2012;26,55
2012;25,00
2012;0,60
2012;36,00
2012;46,95
2012;20,00
2012;9,00
2012;49,80
2012;221,40
2012;108,00
2012;47,00
2012;19,00
2012;1,50
2012;6,00
2012;6,00
2012;4,00
2012;180,00
2012;57,00
2012;43,00
2015;39,25
2012;49,00
2012;304,30
2012;923,10
2012;8,00
2012;835,00
2012;4,50
2012;2,50
2012;10,51
2012;6,00
2012;72,45
2012;2,50
2014;22,50
2012;7,00
2012;7,00
2012;154,36
2012;1.621,04
2012;960,24
2012;201,35
2012;107,00
2012;637,85
2012;494,73
2012;67,00
2012;114,06
2012;221,46
2012;15,50
2012;41,00
2012;629,40
2012;655,96
2012;22,95
2012;17,50
2012;58,50
2012;27,00
2012;65,20
2012;7,00
2012;6,00
2012;10,00
2012;14,00
2012;6,00
2012;43,50
2012;47,00
2013;47,00
2012;12,00
2012;10,00
2012;95,85
2012;4,15
2012;624,30
2012;6,00
2012;32,50
2012;6,00
2012;13,00
2012;4,20
2012;0,60
2012;20,00
2012;19,00
2017;16,95
2012;4,50
2012;15,16
2012;8,00
2012;74,00
2012;5,00
2012;3,00
2012;14,00
2012;10,00
2012;10,00
2012;12,00
2012;30,00
2012;4,50
2012;6,00
2012;10,00
2012;11,90
2012;416,48
2012;3,00
2012;29,00
2012;4,70
2012;17,00
2012;6,00
2012;3,00
2012;17,85
2012;21,00
2012;7,00
2012;60,00
2012;6,00
2012;21,00
2012;27,00
2012;16,00
2012;15,00
2012;22,00
2012;9,00
2012;491,00
2012;9,00
2012;13,00
2012;15,80
2012;153,90
2012;12,00
2012;4,00
2012;52,75
2012;18,00
2012;7,00
2012;12,00
2014;35,40
2012;6,00
2012;20,02
2012;9,00
2012;32,32
2012;99,00
2012;8,00
2012;5,00
2012;107,90
2012;16,25
2012;206,00
2012;4,50
2012;112,00
2012;18,00
2012;4,20
2012;6,00
2012;4,50
2012;6,00
2012;4,50
2012;4,50
2013;392,60
2012;6,00
2012;6,00
2012;6,00
2014;15,25
2012;6,00
2012;7,00
2012;85,00
2012;38,00
2012;11,00
2012;56,00
2012;6,00
2012;42,00
2012;8,00
2012;96,80
2012;8,00
2012;226,35
2012;134,10
2012;130,00
2012;5,00
2012;666,20
2012;6,00
2012;63,00
2012;23,00
2012;2,50
2012;9,00
2013;854,55
2012;3,00
2012;76,00
2012;5,00
2012;4,00
2012;10,00
2012;22,00
2012;4,50
2012;18,00
2012;12,00
2012;6,00
2012;17,73
2012;80,00
2012;10,00
2012;23,25
2012;61,35
2012;15,00
2012;44,33
2012;28,00
2012;21,00
2012;228,00
2012;76,50
2012;37,00
2012;58,50
2012;58,00
2012;7,90
2012;0,60
2012;221,52
2012;130,63
2012;232,65
2012;50,00
2012;209,00
2012;266,75
2012;65,60
2012;18,00
2012;318,00
2012;378,49
2012;98,00
2012;431,60
2012;695,05
2012;519,98
2012;77,80
2012;3,00
2012;5,00
2012;67,00
2012;52,00
2012;14,28
2012;20,00
2012;71,35
2012;25,00
2012;32,70
2012;7,00
2012;7,60
2012;7,90
2012;7,60
2012;7,60
2012;69,00
2012;92,00
2012;59,10
2012;307,50
2012;185,27
2012;168,30
2012;151,25
2012;41,50
2012;54,00
2012;13,20
2012;165,94
2012;7,50
2012;4,00
2012;313,00
2012;205,61
2012;7,00
2012;31,00
2012;2,85
2012;207,60
2012;46,00
2012;4,80
2012;6,00
2012;28,00
2012;108,65
2012;39,00
2012;49,00
2012;18,75
2012;44,80
2012;1,00
2012;6,00
2012;15,00
2012;132,00
2012;40,00
2012;37,00
2013;9,00
2012;17,00
2012;171,00
2012;73,00
2012;47,25
2012;43,00
2012;29,97
2012;8,00
2012;12,00
2012;13,30
2012;32,00
2012;17,00
2012;4,50
2012;79,00
2012;23,00
2012;80,00
2012;10,00
2012;29,25
2012;157,70
2012;10,00
2012;22,00
2012;3,00
2012;30,50
2012;3,00
2012;4,00
2012;137,00
2012;22,28
2012;2.977,21
2012;51,00
2012;33,00
2012;12,00
2012;54,00
2012;6,00
2014;13,25
2012;7,00
2012;5,00
2012;25,00
2012;7,00
2012;25,00
2012;93,35
2012;3,00
2012;6,00
2012;38,89
2012;21,00
2012;897,27
2012;40,00
2012;1.399,95
2012;6,00
2012;65,00
2012;19,00
2012;11,00
2012;3,00
2012;73,50
2012;3,00
2012;25,00
2012;3,50
2012;18,00
2012;69,00
2012;125,20
2012;5,00
2012;14,00
2012;0,60
2012;16,00
2012;40,00
2012;77,00
2012;10,00
2012;14,00
2012;3,00
2012;3,00
2012;18,20
2012;3,00
2012;3,00
2012;14,00
2012;5,00
2012;29,00
2012;6,00
2012;81,50
2012;9,00
2012;7,90
2012;57,00
2012;3,00
2012;7,60
2015;20,89
2012;7,00
2012;2,40
2012;12,00
2012;6,00
2012;12,00
2012;4,50
2013;7,00
2012;4,50
2012;4,50
2012;6,00
2012;6,00
2012;4,50
2012;4,50
2012;4,50
2012;66,00
2012;4,00
2012;210,00
2012;166,45
2012;4,50
2012;88,00
2012;23,00
