Esforço PF;Ano;Data Assinatura Anexo 4/5 Prest. Serv.;Data de Aprovação do Titular;Mês;ANO_ASSIN;TEMPO_ENTREGA
21,75;2017;2017-09-22;2017-04-19;01/04/17;2017,0;156,0
11,36;2017;2017-06-01;2017-04-18;01/04/17;2017,0;44,0
75,75;2017;2018-02-28;2017-04-19;01/04/17;2018,0;315,0
22,03;2017;2018-10-19;2017-04-20;01/04/17;2018,0;547,0
140,63;2017;2018-08-10;2017-04-18;01/04/17;2018,0;479,0
200,15;2014;2016-09-26;2014-07-28;01/07/14;2016,0;791,0
0,6;2017;2017-09-08;2017-04-27;01/04/17;2017,0;134,0
6,0;2014;2015-12-07;2014-07-11;01/07/14;2015,0;514,0
7,4;2014;2014-09-16;2014-08-04;01/08/14;2014,0;43,0
32,0;2014;2015-03-20;2014-07-02;01/07/14;2015,0;261,0
87,41;2014;2017-05-18;2014-06-27;01/06/14;2017,0;1056,0
51,8;2017;2018-06-28;2017-04-13;01/04/17;2018,0;441,0
248,92;2017;2020-05-18;2017-04-19;01/04/17;2020,0;1125,0
19,89;2019;2019-08-20;2019-05-03;01/05/19;2019,0;109,0
6,0;2013;2013-04-08;2013-01-24;01/01/13;2013,0;74,0
137,63;2017;2019-01-09;2017-04-19;01/04/17;2019,0;630,0
7,0;2014;2014-11-10;2014-06-27;01/06/14;2014,0;136,0
13,5;2017;2017-10-30;2017-04-12;01/04/17;2017,0;201,0
347,0;2012;2012-08-07;2012-05-11;01/05/12;2012,0;88,0
165,0;2012;2012-11-28;2012-06-28;01/06/12;2012,0;153,0
6,0;2014;2014-09-01;2014-06-27;01/06/14;2014,0;66,0
21,05;2017;2017-09-15;2017-04-13;01/04/17;2017,0;155,0
5,19;2017;2017-07-10;2017-04-18;01/04/17;2017,0;83,0
22,5;2017;2017-09-29;2017-04-12;01/04/17;2017,0;170,0
4,0;2014;2014-09-05;2014-06-27;01/06/14;2014,0;70,0
46,0;2014;2014-12-08;2014-06-25;01/06/14;2014,0;166,0
197,25;2014;2016-06-07;2014-07-01;01/07/14;2016,0;707,0
70,91;2014;2016-01-11;2014-06-25;01/06/14;2016,0;565,0
40,28;2014;2014-10-02;2014-06-25;01/06/14;2014,0;99,0
31,6;2014;2014-09-12;2014-06-25;01/06/14;2014,0;79,0
53,03;2014;2018-12-04;2014-07-03;01/07/14;2018,0;1615,0
12,0;2014;2014-08-07;2014-06-25;01/06/14;2014,0;43,0
34,0;2014;2014-07-30;2014-06-25;01/06/14;2014,0;35,0
4,5;2017;2018-04-06;2017-04-13;01/04/17;2018,0;358,0
324,82;2014;2018-07-10;2014-06-25;01/06/14;2018,0;1476,0
20,75;2014;2014-11-27;2014-07-03;01/07/14;2014,0;147,0
34,45;2013;2014-05-02;2013-04-30;01/04/13;2014,0;367,0
6,0;2013;2013-09-03;2013-01-21;01/01/13;2013,0;225,0
726,9;2013;2018-10-01;2013-01-20;01/01/13;2018,0;2080,0
105,23;2013;2018-03-07;2013-10-30;01/10/13;2018,0;1589,0
4,0;2013;2013-08-28;2013-01-21;01/01/13;2013,0;219,0
12,0;2014;2015-07-02;2014-06-24;01/06/14;2015,0;373,0
52,0;2017;2017-06-05;2017-04-10;01/04/17;2017,0;56,0
21,5;2017;2018-01-16;2017-04-10;01/04/17;2018,0;281,0
286,94;2013;2017-04-19;2013-04-29;01/04/13;2017,0;1451,0
10,0;2013;2013-05-21;2013-01-21;01/01/13;2013,0;120,0
4,0;2013;2013-12-02;2013-04-30;01/04/13;2013,0;216,0
6,0;2014;2014-07-28;2014-05-16;01/05/14;2014,0;73,0
43,0;2012;2012-08-16;2012-03-06;01/03/12;2012,0;163,0
580,2;2010;2012-05-29;2010-08-02;01/08/10;2012,0;666,0
47,0;2015;2017-06-07;2015-11-17;01/11/15;2017,0;568,0
82,0;2010;2012-03-22;2010-07-29;01/07/10;2012,0;602,0
8,89;2010;2012-03-13;2010-07-29;01/07/10;2012,0;593,0
37,0;2010;2014-01-14;2010-08-05;01/08/10;2014,0;1258,0
23,0;2012;2012-08-08;2012-04-23;01/04/12;2012,0;107,0
209,0;2011;2012-01-27;2011-07-04;01/07/11;2012,0;207,0
161,0;2010;2012-06-12;2010-08-12;01/08/10;2012,0;670,0
4,44;2010;2012-07-25;2010-08-20;01/08/10;2012,0;705,0
30,75;2014;2015-05-22;2014-07-23;01/07/14;2015,0;303,0
6,0;2010;2012-08-17;2010-08-20;01/08/10;2012,0;728,0
40,0;2010;2013-11-05;2010-09-01;01/09/10;2013,0;1161,0
605,12;2010;2018-08-16;2010-08-24;01/08/10;2018,0;2914,0
108,15;2012;2013-01-15;2012-06-11;01/06/12;2013,0;218,0
212,26;2010;2017-07-03;2010-09-03;01/09/10;2017,0;2495,0
3,0;2010;2014-10-22;2010-09-02;01/09/10;2014,0;1511,0
617,0;2010;2012-08-16;2010-09-02;01/09/10;2012,0;714,0
10,0;2013;2013-03-18;2013-01-18;01/01/13;2013,0;59,0
9,0;2010;2012-07-09;2010-09-08;01/09/10;2012,0;670,0
162,3;2010;2016-09-06;2010-09-13;01/09/10;2016,0;2185,0
13,5;2017;2017-10-26;2017-04-10;01/04/17;2017,0;199,0
98,0;2010;2012-08-03;2010-09-17;01/09/10;2012,0;686,0
15,57;2010;2013-06-07;2010-09-17;01/09/10;2013,0;994,0
33,0;2010;2012-07-18;2010-09-23;01/09/10;2012,0;664,0
24,2;2010;2016-09-13;2010-09-22;01/09/10;2016,0;2183,0
13,0;2010;2013-01-18;2010-09-20;01/09/10;2013,0;851,0
2,22;2010;2012-03-13;2010-09-28;01/09/10;2012,0;532,0
8,33;2010;2012-03-13;2010-09-28;01/09/10;2012,0;532,0
8,0;2010;2014-10-20;2010-09-28;01/09/10;2014,0;1483,0
63,0;2010;2012-06-01;2010-09-27;01/09/10;2012,0;613,0
241,0;2010;2013-06-04;2010-10-01;01/10/10;2013,0;977,0
116,2;2010;2012-07-09;2010-09-30;01/09/10;2012,0;648,0
321,0;2010;2012-07-09;2010-09-30;01/09/10;2012,0;648,0
85,5;2010;2014-08-22;2010-10-26;01/10/10;2014,0;1396,0
30,0;2014;2014-07-24;2014-02-09;01/02/14;2014,0;165,0
32,95;2012;2016-04-27;2012-03-06;01/03/12;2016,0;1513,0
408,03;2010;2017-05-08;2010-10-11;01/10/10;2017,0;2401,0
57,5;2010;2014-03-21;2010-10-17;01/10/10;2014,0;1251,0
464,9;2010;2012-12-03;2010-10-20;01/10/10;2012,0;775,0
177,93;2010;2019-10-17;2010-11-08;01/11/10;2019,0;3265,0
19,0;2010;2012-04-20;2010-10-27;01/10/10;2012,0;541,0
31,0;2010;2011-07-21;2010-10-22;01/10/10;2011,0;272,0
62,0;2010;2011-07-21;2010-10-22;01/10/10;2011,0;272,0
28,0;2010;2014-03-20;2010-10-26;01/10/10;2014,0;1241,0
331,13;2010;2012-05-31;2010-11-03;01/11/10;2012,0;575,0
10,0;2010;2013-01-17;2010-11-17;01/11/10;2013,0;792,0
3,0;2013;2013-03-27;2013-01-18;01/01/13;2013,0;68,0
331,0;2010;2012-11-26;2010-11-09;01/11/10;2012,0;748,0
130,0;2010;2014-04-11;2010-11-08;01/11/10;2014,0;1250,0
11,11;2010;2018-02-20;2010-11-11;01/11/10;2018,0;2658,0
10,5;2017;2018-05-04;2017-04-10;01/04/17;2018,0;389,0
184,0;2010;2012-07-18;2010-11-16;01/11/10;2012,0;610,0
9,5;2014;2015-03-17;2014-07-29;01/07/14;2015,0;231,0
41,4;2010;2011-04-01;2010-11-18;01/11/10;2011,0;134,0
3,6;2010;2013-03-18;2010-11-25;01/11/10;2013,0;844,0
6,0;2013;2020-01-10;2013-01-17;01/01/13;2020,0;2549,0
16,0;2014;2014-12-15;2014-07-23;01/07/14;2014,0;145,0
2,0;2010;2012-03-15;2010-11-23;01/11/10;2012,0;478,0
693,6;2010;2016-01-25;2010-11-30;01/11/10;2016,0;1882,0
6,0;2012;2013-06-17;2012-05-11;01/05/12;2013,0;402,0
13,0;2013;2013-06-10;2013-05-10;01/05/13;2013,0;31,0
12,0;2011;2012-11-26;2011-01-24;01/01/11;2012,0;672,0
1,33;2010;2012-03-13;2010-12-06;01/12/10;2012,0;463,0
95,0;2010;2011-07-05;2010-12-06;01/12/10;2011,0;211,0
6,0;2010;2012-08-21;2010-12-06;01/12/10;2012,0;624,0
34,17;2010;2019-09-24;2010-12-01;01/12/10;2019,0;3219,0
230,0;2010;2011-06-13;2010-12-03;01/12/10;2011,0;192,0
278,4;2010;2013-06-06;2010-12-09;01/12/10;2013,0;910,0
10,0;2010;2012-04-02;2010-12-07;01/12/10;2012,0;482,0
112,35;2010;2013-02-19;2010-12-07;01/12/10;2013,0;805,0
216,95;2010;2014-03-14;2010-12-15;01/12/10;2014,0;1185,0
47,2;2012;2012-09-17;2012-03-30;01/03/12;2012,0;171,0
1,0;2010;2011-12-28;2010-12-13;01/12/10;2011,0;380,0
4,5;2010;2014-09-17;2010-12-13;01/12/10;2014,0;1374,0
96,0;2010;2012-06-18;2010-12-15;01/12/10;2012,0;551,0
603,75;2013;2014-02-03;2013-01-20;01/01/13;2014,0;379,0
345,0;2011;2015-01-19;2011-01-03;01/01/11;2015,0;1477,0
97,8;2011;2012-03-13;2011-01-20;01/01/11;2012,0;418,0
6,0;2011;2013-01-29;2011-01-24;01/01/11;2013,0;736,0
1,78;2011;2015-05-11;2011-01-06;01/01/11;2015,0;1586,0
340,65;2011;2011-09-05;2011-01-07;01/01/11;2011,0;241,0
72,0;2011;2014-10-03;2011-01-18;01/01/11;2014,0;1354,0
179,0;2011;2012-08-30;2011-01-17;01/01/11;2012,0;591,0
72,0;2011;2014-10-10;2011-01-18;01/01/11;2014,0;1361,0
11,91;2017;2017-12-20;2017-04-07;01/04/17;2017,0;257,0
599,05;2011;2014-09-09;2011-01-13;01/01/11;2014,0;1335,0
33,75;2014;2014-10-10;2014-06-20;01/06/14;2014,0;112,0
744,0;2011;2013-06-07;2011-02-02;01/02/11;2013,0;856,0
52,0;2014;2017-01-16;2014-12-10;01/12/14;2017,0;768,0
7,0;2011;2012-03-30;2011-02-02;01/02/11;2012,0;422,0
29,0;2011;2012-03-07;2011-07-06;01/07/11;2012,0;245,0
490,5;2011;2017-08-16;2011-02-01;01/02/11;2017,0;2388,0
3,0;2014;2014-08-22;2014-07-03;01/07/14;2014,0;50,0
60,0;2011;2012-06-13;2011-02-01;01/02/11;2012,0;498,0
70,0;2011;2011-07-28;2011-02-01;01/02/11;2011,0;177,0
20,0;2011;2011-05-25;2011-02-03;01/02/11;2011,0;111,0
14,0;2017;2017-05-15;2017-04-13;01/04/17;2017,0;32,0
64,0;2011;2014-10-10;2011-02-06;01/02/11;2014,0;1342,0
364,57;2011;2016-03-17;2011-02-06;01/02/11;2016,0;1866,0
106,94;2011;2012-02-03;2011-02-07;01/02/11;2012,0;361,0
335,0;2011;2012-06-20;2011-02-07;01/02/11;2012,0;499,0
29,4;2011;2013-06-14;2011-02-10;01/02/11;2013,0;855,0
69,0;2011;2014-01-09;2011-02-10;01/02/11;2014,0;1064,0
48,0;2011;2011-06-27;2011-02-09;01/02/11;2011,0;138,0
15,5;2014;2014-10-20;2014-07-22;01/07/14;2014,0;90,0
47,0;2011;2014-06-10;2011-02-14;01/02/11;2014,0;1212,0
40,0;2011;2014-06-11;2011-02-14;01/02/11;2014,0;1213,0
107,0;2011;2014-06-10;2011-02-14;01/02/11;2014,0;1212,0
116,75;2011;2014-06-11;2011-02-14;01/02/11;2014,0;1213,0
411,75;2011;2012-11-05;2011-02-17;01/02/11;2012,0;627,0
72,63;2011;2016-05-25;2011-02-17;01/02/11;2016,0;1924,0
138,0;2011;2012-04-13;2011-02-15;01/02/11;2012,0;423,0
27,0;2011;2011-08-10;2011-02-23;01/02/11;2011,0;168,0
54,0;2011;2012-05-23;2011-03-04;01/03/11;2012,0;446,0
14,0;2011;2011-06-14;2011-03-04;01/03/11;2011,0;102,0
110,0;2011;2011-10-03;2011-03-02;01/03/11;2011,0;215,0
18,0;2011;2011-07-26;2011-03-02;01/03/11;2011,0;146,0
50,0;2011;2013-07-16;2011-03-02;01/03/11;2013,0;867,0
2,22;2011;2012-03-13;2011-03-04;01/03/11;2012,0;375,0
2,22;2011;2012-03-13;2011-03-03;01/03/11;2012,0;376,0
319,15;2011;2013-03-06;2011-03-04;01/03/11;2013,0;733,0
7,0;2011;2012-05-18;2011-03-02;01/03/11;2012,0;443,0
209,0;2011;2016-02-03;2011-03-08;01/03/11;2016,0;1793,0
